red,green,blue,black,yellow,no match,skin_type,initial_price,curr_price,days_since_release
1,14913,42,112047,2597,0,Rocket Launcher,8.74,6.99,1271
11,22752,34,101482,5321,0,Vending Machine,4.7,11.46,1197
18,19434,28,108575,1545,0,Wooden Door,1.49,2.63,721
198,9490,34,116508,3370,0,Stone Hatchet,2.2,2.07,862
437,8551,30,116292,4290,0,Stone Pickaxe,2.53,2.78,862
2481,35219,25,89998,1877,0,Sheet Metal Door,1.49,4.83,799
2577,20608,643,104434,1338,0,Furnace,1.49,2.85,714
22646,11145,151,84898,10760,0,Sleeping Bag,4.99,2.61,1631
0,39411,42,85864,4283,0,Shirt,1.5,2.59,1156
2640,17532,50,105457,3921,0,Python Revolver,1.99,1.05,280
69,38905,26,88840,1760,0,Sheet Metal Door,1.49,2.1,925
796,26010,32,99106,3656,0,Furnace,2.68,2.09,883
1,26952,47,97952,4648,0,Large Wood Box,1.49,2.96,840
20,35208,25,93362,985,0,Sheet Metal Door,2.99,3.05,820
37,13665,34,115565,299,0,Stone Hatchet,1.99,5.69,1002
404,20553,49,104744,3850,0,Hammer,2.16,2.33,868
55,12597,30,116391,527,0,Stone Pickaxe,1.99,3.51,995
1,46305,38,75240,8016,0,Longsleeve T-Shirt,2.49,1.64,1750
47,6923,32,122150,448,0,Longsword,1.36,3.73,896
1153,6118,57,121462,810,0,Semi-Automatic Rifle,1.99,4.79,918
1423,23451,47,90528,14151,0,Large Wood Box,1.49,1.88,918
2,11808,32,116411,1347,0,Metal Facemask,9.99,16.31,1290
2,7860,1627,118522,1589,0,Assault Rifle,2.99,5.34,372
1,7621,1734,118656,1588,0,Bolt Action Rifle,1.99,4.55,322
1,9594,2154,116520,1331,0,Coffee Can Helmet,0.99,1.36,350
0,16799,2957,109124,720,0,Metal Chest Plate,0.99,2.69,288
0,16954,5951,104828,1867,0,Metal Facemask,0.99,2.35,288
0,14313,1964,111454,1869,0,Python Revolver,1.99,2.36,365
1,13895,1454,113784,466,0,Road Sign Kilt,0.99,3.04,350
