red,green,blue,black,yellow,no match,skin_type,initial_price,curr_price,days_since_release
1628,14986,28,111741,1217,0,Wooden Door,1.49,1.69,512
367,8960,42,115367,4864,0,Assault Rifle,1.99,1.64,932
44,7335,3320,110810,8091,0,Assault Rifle,3.99,9.26,540
8,8457,420,112261,8454,0,Crossbow,2.99,3.95,343
0,12133,772,110314,6381,0,LR-300,3.99,11.87,566
0,13942,2368,104489,8801,0,MP5A4,2.99,10.74,427
1,15255,2991,92920,18433,0,Python Revolver,3.99,5.61,820
1,7853,673,116411,4662,0,Semi-Automatic Rifle,3.99,5.5,505
13,22408,44,105581,1554,0,Semi-Automatic Pistol,1.99,3.56,615
0,11396,48,117966,190,0,Boots,5.82,5.43,1238
2168,2174,48,124626,584,0,Combat Knife,4.99,6.77,400
180,46184,27,65157,18052,0,Sleeping Bag,1.49,1.77,280
407,19052,27,102106,8008,0,Sleeping Bag,1.99,3.43,218
0,18327,47,111159,67,0,Large Wood Box,2.49,6.14,1219
38669,8487,19,80050,2375,0,Garage Door,1.49,2.3,175
3,5753,24,123401,419,0,Fridge,1.49,3.42,175
9,10647,1412,112576,4956,0,Assault Rifle,1.99,2.36,1016
630,14321,38,111832,2779,0,Pump Shotgun,1.99,1.51,1008
469,23343,46,103639,2103,0,Metal Chest Plate,0.99,1.81,820
252,19670,45,106880,2753,0,Metal Facemask,0.99,1.15,820
0,16415,47,112405,733,0,Hoodie,0.99,1.84,967
1,14241,46,114930,382,0,Pants,0.99,1.89,967
12,21445,1267,104422,2454,0,Hoodie,0.99,0.85,3
16,19121,475,109315,673,0,Pants,0.99,0.76,3
733,29217,43,93976,5631,0,Semi-Automatic Pistol,2.49,1.13,1702
3851,19115,1472,100301,4861,0,Furnace,1.49,1.68,153
22,11864,26,117130,558,0,Sheet Metal Door,1.49,5.95,700
12,34283,28,94387,890,0,Armored Door,14.99,9.74,1289
1513,14920,41,76231,36895,0,Boots,0.99,1.16,28
2015,12733,208,89608,25036,0,Metal Chest Plate,0.99,0.65,15
1145,10066,112,89813,28464,0,Metal Facemask,0.99,0.77,15
795,18370,51,77793,32591,0,Leather Gloves,1.49,1.67,28
944,12631,38,98815,17172,0,Hoodie,1.99,6.31,35
553,8703,39,99942,20363,0,Pants,1.99,6.39,35
697,16595,41,83762,28505,0,Boonie Hat,0.99,1.39,357
6,8269,31,120643,651,0,Burlap Trousers,0.99,1.02,357
0,24340,30,103233,1997,0,Boonie Hat,0.99,3.2,350
797,14791,38,110515,3459,0,Hoodie,2.49,1.87,350
104,8432,142,120603,319,0,Pants,2.49,1.29,350
413,22272,29,87547,19339,0,Burlap Shirt,0.99,0.84,357
13219,14347,221,64600,37213,0,Sleeping Bag,1.49,3.4,405
0,13425,30,115818,327,0,Bandana Mask,2.49,1.65,15
1741,10361,47,110409,7042,0,Large Wood Box,1.49,2.1,588
2082,8821,120,117610,967,0,Bandana Mask,5.45,107.01,1681
7600,2014,41,119070,875,0,Longsleeve T-Shirt,4.98,33.25,1681
2,20434,28,99441,9695,0,Sleeping Bag,2.99,18.36,729
3331,7423,42,116206,2598,0,Assault Rifle,2.49,1.73,1239
6,13287,43,110238,6026,0,Semi-Automatic Pistol,1.99,1.61,938
392,19411,47,107455,2295,0,T-Shirt,2.91,1.24,1217
176,8915,46,116616,3847,0,Assault Rifle,4.99,5.44,813
0,10532,314,117362,1392,0,Hoodie,5.99,0.9,1575
2140,5463,978,116859,4160,0,Semi-Automatic Rifle,1.99,2.06,469
561,8163,19,119453,1404,0,Garage Door,1.49,10.04,688
4212,13117,47,102612,9612,0,Large Wood Box,1.49,4.07,722
402,15706,47,102057,11388,0,Large Wood Box,1.49,1.74,378
832,20220,33,105172,3343,0,Furnace,1.49,2.7,611
1,8109,31,119775,1684,0,Hatchet,1.99,1.3,448
0,6894,43,122395,268,0,Pickaxe,1.99,1.3,287
4,9498,29,119632,437,0,Wooden Door,1.49,5.04,707
6817,8364,718,110990,2711,0,LR-300,1.99,2.41,294
18,27461,21,101709,391,0,Shorts,2.49,5.23,1291
2098,18932,46,98319,10205,0,Large Wood Box,7.49,5.06,1273
1222,9115,51,117375,1837,0,LR-300,2.56,6.0,946
21,5718,32,122788,1041,0,Hatchet,4.48,7.57,973
2,3853,41,125293,411,0,Pickaxe,1.99,4.94,967
344,19136,47,95623,14450,0,Large Wood Box,1.49,4.3,925
94,6738,36,120385,2347,0,Chair,18.25,7.45,1189
4,2989,36,126391,180,0,Longsword,11.5,5.03,1252
2469,30013,22,93624,3472,0,Garage Door,1.49,9.53,610
0,5858,47,123114,581,0,Salvaged Icepick,2.27,5.58,1128
1002,7371,41,113799,7387,0,Assault Rifle,1.93,1.52,1156
2965,9776,77,112614,4168,0,Custom SMG,1.99,7.42,925
524,7464,34,120520,1058,0,Stone Hatchet,2.85,1.9,778
1,16384,50,105086,8079,0,Python Revolver,1.99,1.2,897
779,14377,55,113151,1238,0,MP5A4,1.99,6.0,1135
1646,15638,49,108323,3944,0,Hammer,3.1,5.06,988
568,5833,83,122517,599,0,Crossbow,2.48,1.48,876
316,14261,46,92017,22960,0,Large Wood Box,1.49,1.7,448
2,7492,42,120397,1667,0,Assault Rifle,1.99,4.91,974
497,18810,47,103774,6472,0,Large Wood Box,1.49,2.4,1009
0,14589,54,108693,6264,0,LR-300,1.99,2.68,512
2776,11645,37,110991,4151,0,Pump Shotgun,1.99,2.78,567
30,28050,26,97439,4055,0,Sheet Metal Door,1.49,3.21,988
416,17940,36,109214,1994,0,Metal Chest Plate,0.99,1.78,365
993,17511,38,108335,2723,0,Metal Facemask,0.99,0.92,365
308,21611,24,105288,2369,0,Sheet Metal Door,1.49,1.64,469
1880,7090,33,117973,2624,0,Bolt Action Rifle,2.04,2.85,1142
5,26232,26,100416,2921,0,Sheet Metal Door,1.49,3.15,946
53,2180,32,127305,30,0,Metal Facemask,9.99,13.22,1293
463,23086,65,99852,6134,0,Revolver,1.99,2.05,932
3,11472,42,114373,3710,0,Assault Rifle,2.49,1.51,876
0,13940,54,113816,1790,0,LR-300,1.99,3.89,616
0,17622,36,109360,2582,0,Metal Facemask,0.99,5.82,1023
2,10282,52,118565,699,0,Road Sign Kilt,0.99,5.12,1023
1,14868,45,112287,2399,0,Road Sign Jacket,0.99,1.66,1023
1022,29888,38,86492,12160,0,Wood Storage Box,1.49,5.14,904
94,39424,26,88757,1299,0,Sheet Metal Door,1.49,1.74,427
2748,26053,33,97588,3178,0,Furnace,1.49,1.57,315
3610,60080,19,61703,4188,0,Garage Door,1.49,2.09,329
311,20123,46,89659,19461,0,Large Wood Box,1.49,1.45,351
30,4638,525,123757,650,0,Crossbow,1.99,2.76,736
1,14673,65,112773,2088,0,Revolver,10.0,3.29,1204
531,19005,47,102914,7103,0,Large Wood Box,1.49,2.95,680
986,10422,26,116808,1358,0,Sheet Metal Door,1.49,3.06,680
75,17968,50,105439,6068,0,Coffee Can Helmet,1.32,0.79,876
143,30577,64,95816,3000,0,Road Sign Kilt,1.65,1.69,876
866,21560,47,100634,6493,0,Road Sign Jacket,1.27,0.92,876
3,30388,18,96670,2521,0,Garage Door,4.75,17.59,946
6566,11800,50,104236,6948,0,Furnace,1.49,2.48,336
332,10717,45,115901,2605,0,Assault Rifle,3.99,2.83,778
1606,4923,46,121597,1428,0,Bone Helmet,4.99,9.16,1307
2610,12441,33,108886,5630,0,Furnace,1.99,6.21,218
34,30169,47,97162,2188,0,Hoodie,0.99,1.22,1086
1,21101,22,105799,2677,0,Improvised Balaclava,3.38,0.06,1744
0,26801,28,99323,3448,0,Bandana Mask,10.42,0.07,1744
5,24739,47,103058,1751,0,Hoodie,2.33,0.98,1156
9,15445,48,113643,455,0,Pants,2.77,1.64,1156
47,7274,44,112343,9892,0,Assault Rifle,1.99,1.66,169
3750,15201,43,99949,10657,0,Semi-Automatic Pistol,1.49,0.91,1204
154,24488,39,104134,785,0,Jacket,0.96,0.06,1786
1,15148,33,114321,97,0,Burlap Trousers,2.39,4.53,1114
15,22378,30,106790,387,0,Burlap Shirt,0.99,3.68,1107
1,15504,49,107873,6173,0,Coffee Can Helmet,0.99,1.28,1065
173,21158,58,102436,5775,0,Road Sign Kilt,0.99,3.89,1065
259,26171,41,97860,5269,0,Road Sign Jacket,0.99,1.13,1065
0,6717,61,116315,6507,0,M39 Rifle,1.99,3.04,412
2042,15155,50,101242,11111,0,Python Revolver,1.99,1.12,911
1958,8150,39,117176,2277,0,M39 Rifle,1.99,7.18,392
5554,17627,66,97704,8649,0,Revolver,2.59,2.49,883
3395,7290,59,116072,2784,0,Thompson,1.99,9.79,400
7633,24959,19,88661,8328,0,Garage Door,1.49,3.96,211
766,9399,42,115406,3987,0,Assault Rifle,1.99,1.65,1030
56,15193,33,112758,1560,0,Metal Facemask,1.16,1.11,1030
50,11904,57,117199,390,0,Road Sign Kilt,0.99,6.21,1037
82,14084,43,114802,589,0,Road Sign Jacket,0.99,2.55,1037
1140,4948,41,122745,726,0,Semi-Automatic Rifle,1.99,1.98,301
298,17082,112,110800,1308,0,Riot Helmet,1.82,3.72,1128
2,9751,42,114488,5317,0,Assault Rifle,2.49,1.3,1569
0,11830,59,110938,6773,0,MP5A4,4.99,18.17,1296
2346,21431,46,98195,7582,0,Large Wood Box,1.49,2.0,484
4276,22044,43,98921,4316,0,Semi-Automatic Pistol,2.71,1.46,1044
199,20741,40,104712,3908,0,Semi-Automatic Pistol,2.04,3.73,1107
767,8519,95,117323,2896,0,Water Purifier,2.65,35.95,1155
7675,21595,3306,88114,8910,0,Large Wood Box,1.49,4.77,659
3863,27915,26,93742,4054,0,Sheet Metal Door,1.49,3.86,659
66,16006,18633,65278,29617,0,Sleeping Bag,1.49,1.67,315
131,17119,74,106041,6235,0,Coffee Can Helmet,1.22,0.98,785
12,15954,60,112957,617,0,Road Sign Kilt,1.31,1.98,785
93,22256,43,105738,1470,0,Road Sign Jacket,1.27,0.99,785
3,9470,51,113783,6293,0,Assault Rifle,1.99,4.59,77
3,23826,41,89737,15993,0,Boots,0.99,2.01,139
271,20521,52,90358,18398,0,Leather Gloves,1.49,2.76,139
1,8037,41,106190,15331,0,Coffee Can Helmet,0.99,2.12,113
1,18276,39,106760,4524,0,Hoodie,0.99,3.33,147
1,7064,54,118038,4443,0,Road Sign Kilt,0.99,3.95,113
0,15472,35,98828,15265,0,Metal Chest Plate,0.99,2.52,92
1,12247,31,103731,13590,0,Metal Facemask,0.99,2.36,92
1,16439,43,102678,10439,0,Pants,0.99,2.99,147
1,9846,44,106387,13322,0,Road Sign Jacket,0.99,2.58,113
2,12324,42,114013,3219,0,Assault Rifle,1.15,1.54,1114
14,15815,26,113604,141,0,Sheet Metal Door,35.22,1.52,1252
5,7295,83,121773,444,0,Crossbow,3.67,2.01,1176
40,7826,26,120953,755,0,Sheet Metal Door,1.49,3.42,588
3727,31168,25,89644,5036,0,Sheet Metal Door,1.49,3.59,1065
9068,9369,5878,97908,7377,0,Wooden Door,10.36,18.12,1279
999,35150,7732,76087,9632,0,Sheet Metal Double Door,1.49,3.54,160
304,9833,42,113700,5721,0,Salvaged Sword,1.99,2.1,188
7236,27554,23,92725,2062,0,Sheet Metal Double Door,4.99,13.21,218
552,5841,47,118153,5007,0,Double Barrel Shotgun,1.99,3.83,441
74,11226,99,114621,3580,0,Double Barrel Shotgun,1.99,3.9,907
1,8795,23,119682,1099,0,Improvised Balaclava,4.99,1.07,1744
57,8642,33,112592,8276,0,Hatchet,1.99,2.02,196
53,3738,43,125010,756,0,Pickaxe,1.99,1.78,197
712,13297,23,115130,438,0,Sheet Metal Double Door,1.49,4.38,182
0,14010,29,114092,1469,0,Rock,1.99,1.59,511
1238,10940,32,114230,3160,0,Furnace,2.99,19.05,729
1338,5957,40,121557,708,0,Stone Hatchet,2.99,9.4,632
752,9794,30,118221,803,0,Stone Pickaxe,2.99,15.85,632
3406,5291,43,118013,2847,0,Rocket Launcher,2.99,3.25,169
2036,19553,26,107506,479,0,Sheet Metal Door,1.49,2.24,883
2505,14899,2223,99047,10926,0,Python Revolver,1.99,1.22,554
228,7992,57,120493,830,0,Semi-Automatic Rifle,1.99,5.33,616
6,1603,65,127721,205,0,Hunting Bow,1.99,3.05,169
47,8610,37,117749,3157,0,Combat Knife,2.49,2.39,197
3017,4246,34,120411,1892,0,Bolt Action Rifle,2.49,1.04,1667
3,49413,31,75551,4602,0,Wooden Door,1.49,3.34,813
1145,41513,70,85653,1219,0,Sheet Metal Door,1.49,1.54,554
277,7428,1753,114917,5225,0,Assault Rifle,1.99,1.36,28
335,24219,42,92907,12097,0,Leather Gloves,4.99,1.99,1624
90,28850,76,94752,5832,0,Revolver,1.67,2.49,862
94,19889,50,106172,3395,0,Python Revolver,1.99,2.67,666
1686,14150,40,103743,9981,0,Wood Storage Box,1.49,3.73,630
457,15974,46,109596,3527,0,Metal Chest Plate,0.99,4.24,793
19,17002,31,108482,4066,0,Metal Facemask,1.24,2.06,792
29,15433,48,111275,2815,0,Coffee Can Helmet,0.99,1.89,743
153,17208,56,110102,2081,0,Road Sign Kilt,0.99,4.8,743
77,17489,42,107488,4504,0,Road Sign Jacket,0.99,2.01,743
469,10559,65,114410,4097,0,Revolver,3.41,4.53,974
2714,6414,45,117210,3217,0,Assault Rifle,2.49,1.96,315
541,7473,54,120048,1484,0,LR-300,2.99,2.79,386
746,9832,50,110654,8318,0,Python Revolver,1.99,1.54,252
3670,11100,57,108789,5984,0,Semi-Automatic Pistol,2.49,1.15,288
711,22622,100,105550,617,0,Sheet Metal Double Door,1.49,2.71,175
1568,30384,19977,65517,12154,0,Sleeping Bag,1.49,2.11,406
115,9930,18,117591,1946,0,Bandana Mask,0.99,0.55,50
967,9098,38,77650,41847,0,Wood Storage Box,1.49,1.88,50
5842,16594,99,96954,10111,0,Furnace,1.49,2.16,119
24083,8203,165,88349,8800,0,Metal Chest Plate,0.99,1.27,105
13527,5971,35,80765,29302,0,Metal Facemask,0.99,1.23,105
5198,9306,32,111795,3269,0,Hatchet,5.2,1.45,946
1,34781,30,89023,5765,0,Wooden Door,1.49,1.36,70
685,21493,329,106235,858,0,Bandana Mask,0.99,1.07,405
1,26687,47,97236,5629,0,Large Wood Box,1.49,2.01,504
6,25953,26,101514,2101,0,Sheet Metal Door,1.49,1.59,504
36,40485,18,85496,3565,0,Garage Door,1.49,3.37,462
0,5017,63,121438,3082,0,Revolver,2.06,8.86,1156
1,12033,46,107394,10126,0,Large Wood Box,1.49,5.06,876
7,16037,26,112495,1035,0,Sheet Metal Door,1.49,3.36,911
5,16575,26,111326,1668,0,Sheet Metal Door,1.49,2.12,357
1096,15045,31,111248,2180,0,Metal Facemask,0.99,1.88,1016
302,21955,480,105275,1588,0,Hoodie,0.99,0.72,540
862,17315,216,110035,1172,0,Pants,0.99,0.77,540
2313,36311,35,76501,14440,0,Garage Door,1.49,4.19,547
905,6324,38,120903,1430,0,Pickaxe,1.99,1.32,841
54,15420,61,112772,1293,0,MP5A4,6.99,9.44,1245
388,6251,29,120281,2651,0,Hatchet,1.99,2.88,98
345,3727,43,124565,920,0,Pickaxe,1.99,2.4,98
47,17686,242,109229,2396,0,Revolver,1.99,4.54,616
8,17536,27,107474,4555,0,Sheet Metal Door,1.49,2.03,630
234,1327,50,127381,608,0,Combat Knife,1.99,1.37,413
844,8506,3203,116460,587,0,Custom SMG,2.38,2.91,1092
16,27459,46,98317,3762,0,Metal Chest Plate,0.99,0.82,1107
727,13145,26,103882,11820,0,Sheet Metal Door,2.88,1.62,869
2,6755,137,121474,1232,0,Crossbow,5.26,4.99,1259
1271,15833,50,105682,6764,0,Python Revolver,1.99,2.45,904
54,10883,1054,113027,4582,0,Assault Rifle,1.99,1.55,1093
277,21736,535,100472,6580,0,Coffee Can Helmet,0.99,0.96,1037
105,29897,1024,96966,1608,0,Road Sign Kilt,0.99,1.55,1072
517,27096,367,97694,3926,0,Road Sign Jacket,0.99,0.8,1072
460,5418,50,115195,8477,0,Bone Knife,7.23,7.42,1277
1,11219,50,107393,10937,0,Python Revolver,1.99,2.01,189
261,7956,84,111884,9415,0,Assault Rifle,2.99,1.51,673
4224,28438,23,96366,549,0,Sheet Metal Double Door,1.49,1.47,22
13623,18540,36,94720,2681,0,Metal Chest Plate,0.99,0.71,224
22942,9965,39,85463,11191,0,Metal Facemask,0.99,0.76,224
8709,19737,506,81723,18925,0,Metal Chest Plate,0.99,0.9,160
5449,8805,844,82253,32249,0,Metal Facemask,0.99,1.07,160
2764,7961,26,117410,1439,0,Sheet Metal Door,2.99,5.45,491
760,30450,26,97485,879,0,Sheet Metal Door,1.49,1.53,266
1420,5049,15,122343,773,0,Improvised Balaclava,0.99,2.05,1135
0,12923,48,116132,497,0,Boots,1.72,4.12,1113
167,8668,47,120688,30,0,Hoodie,0.99,0.77,883
889,4393,46,124258,14,0,Pants,0.99,0.77,883
2755,10611,47,88832,27355,0,Large Wood Box,4.99,20.25,1296
20143,6633,46,97608,5170,0,T-Shirt,9.99,0.1,1751
170,57905,4772,59066,7687,0,Garage Door,1.52,1.87,875
1168,25433,44,95802,7153,0,Semi-Automatic Pistol,9.86,1.83,967
233,18190,29,109613,1535,0,Sheet Metal Door,2.99,2.01,413
183,11264,46,110752,7355,0,Salvaged Sword,4.5,2.79,1065
340,27970,43,98514,2733,0,Semi-Automatic Pistol,1.33,1.67,952
489,24296,29,102146,2640,0,Boonie Hat,2.49,3.54,1751
1,23850,6199,99333,217,0,Burlap Trousers,0.99,1.8,57
4590,15281,5823,84006,19900,0,Burlap Shirt,0.99,1.31,50
1236,11961,32,79920,36451,0,Boonie Hat,0.99,1.43,57
6595,19482,557,83696,19270,0,Large Wood Box,1.49,1.74,50
2056,6675,41,113497,7331,0,Assault Rifle,1.99,1.43,1058
92,10047,42,117077,2342,0,Assault Rifle,1.99,1.28,1086
289,10854,556,116655,1246,0,Hatchet,1.99,1.84,812
180,5224,79,123716,401,0,Pickaxe,1.99,5.37,813
4376,12583,78,109313,3250,0,Festive Window Garland,2.49,3.62,897
22901,13983,37,83558,9121,0,Satchel Charge,0.99,0.83,533
295,15514,15490,92974,5327,0,Semi-Automatic Pistol,2.57,1.3,1128
1392,9301,2047,111906,4954,0,Custom SMG,1.99,3.97,939
11203,11170,47,92809,14371,0,Large Wood Box,2.98,3.23,1065
2359,5751,40,113456,7994,0,Salvaged Sword,2.99,2.19,462
182,7024,54,121980,360,0,Semi-Automatic Rifle,2.48,1.89,1142
6672,15256,26,87772,19874,0,Sheet Metal Door,1.49,1.76,1122
365,18059,44,107925,3207,0,Semi-Automatic Pistol,6.86,2.65,1148
1163,32765,41,85875,9756,0,F1 Grenade,12.24,4.61,1239
10,10947,39,114544,4060,0,Jacket,2.19,109.81,1233
1506,29125,42,93258,5669,0,Leather Gloves,1.49,2.26,827
3779,9133,32,113256,3400,0,Hatchet,1.99,2.14,1264
1358,11189,47,116463,543,0,Hoodie,0.99,0.98,827
735,5413,46,123043,363,0,Pants,0.99,1.07,827
1980,19922,65,104473,3160,0,Revolver,1.99,2.48,1086
28,47000,68,78634,3870,0,Snow Jacket,2.02,4.37,1121
2164,8824,75,118007,530,0,Custom SMG,1.99,7.38,1264
0,21751,38,101655,6156,0,Wood Storage Box,12.0,5.19,1279
4,31022,46,83489,15039,0,Large Wood Box,5.49,0.1,1631
214,17385,47,87197,24757,0,Large Wood Box,2.29,5.33,1176
98,28807,29,94445,6221,0,Sleeping Bag,1.49,5.7,974
155,26696,32,100965,1752,0,Boonie Hat,3.64,8.91,1271
2,31679,46,96368,1505,0,Metal Chest Plate,9.99,38.27,1296
1169,16594,32,107780,4025,0,Waterpipe Shotgun,1.99,1.78,953
6312,4421,43,117512,1312,0,Eoka Pistol,1.99,1.73,64
841,28620,33,92259,7847,0,Metal Facemask,1.47,1.05,1114
3732,7406,50,112731,5681,0,Bone Knife,2.46,8.04,854
11,11835,45,114854,2855,0,Eoka Pistol,3.5,9.57,1211
0,15854,33,84238,29475,0,Boonie Hat,19.56,8.55,1214
3043,32887,827,88694,4149,0,Sheet Metal Door,1.49,1.88,680
2006,10226,726,113721,2921,0,LR-300,1.99,2.61,231
2867,8350,1184,113899,3300,0,Custom SMG,1.99,2.54,280
1695,22218,39,101913,3735,0,Metal Facemask,1.47,1.18,785
361,21433,46,106076,1684,0,Metal Chest Plate,2.44,1.28,785
917,27781,46,96620,4236,0,Large Wood Box,2.23,13.83,1128
1,19949,29,95765,13856,0,Rock,1.99,3.58,595
1,8669,22,120886,22,0,Improvised Balaclava,8.42,0.07,1744
0,3160,28,126412,0,0,Bandana Mask,6.56,0.08,1744
1,12760,26,116699,114,0,Baseball Cap,2.49,4.14,1772
12,16220,35,110856,2477,0,Metal Chest Plate,2.33,37.78,1300
2,2708,46,126785,59,0,Pants,3.14,0.07,1779
2,9178,45,119836,539,0,T-Shirt,2.49,0.31,1751
536,28733,66,94262,6003,0,Revolver,1.34,2.26,1050
26,25463,47,97559,6505,0,Large Wood Box,1.49,2.8,1037
4,25851,29,103677,39,0,Wooden Door,1.49,2.17,918
25,7773,55,121131,616,0,Semi-Automatic Rifle,1.99,2.0,1107
1150,26527,32,99567,2324,0,Metal Chest Plate,0.99,0.8,77
1185,20933,37,99733,7712,0,Metal Facemask,0.99,0.71,77
199,42145,30,86875,351,0,Wooden Door,4.02,3.92,798
0,9582,34,118720,1264,0,Stone Hatchet,4.49,1.67,1051
16,34337,21,83681,11545,0,Improvised Balaclava,2.11,1.42,946
7185,13307,1096,100481,7531,0,Revolver,1.99,2.99,588
130,37726,80,87978,3686,0,Longsleeve T-Shirt,2.49,0.94,1751
32,20283,57,108632,596,0,Road Sign Kilt,1.19,2.22,1058
268,24797,43,103017,1475,0,Road Sign Jacket,1.26,0.87,1058
433,8073,518,118754,1822,0,Semi-Automatic Rifle,1.99,2.96,840
12,43018,29,81876,4665,0,Sleeping Bag,1.49,2.77,981
3910,8146,47,93593,23904,0,Large Wood Box,1.49,2.01,434
17661,2664,29,87867,21379,0,Rock,5.51,6.55,1218
2004,38909,50,71080,17557,0,Garage Door,1.49,2.05,57
8,17336,29,111710,517,0,Sleeping Bag,3.33,157.99,1681
11706,19630,26,97787,451,0,Sheet Metal Door,1.49,2.13,848
1,31675,154,85601,12169,0,Baseball Cap,2.49,3.45,1702
69,19406,58,103878,6189,0,Hammer,1.99,3.83,911
1206,7638,1538,112547,6671,0,Assault Rifle,1.99,6.0,1086
2,19627,6957,102900,114,0,Metal Facemask,34.99,39.63,1274
3,11372,6425,92411,19389,0,Revolver,11.5,7.04,1189
166,13905,1193,113390,946,0,Pump Shotgun,1.99,3.97,1044
93,22228,2770,93141,11368,0,Metal Chest Plate,0.99,0.97,343
5854,16216,3772,70828,32930,0,Sleeping Bag,1.49,2.52,294
533,22823,2736,94028,9480,0,Metal Facemask,0.99,0.84,343
25057,4021,29,87131,13362,0,Rock,6.72,7.4,1212
1854,12817,51,110227,4651,0,Hammer,1.99,1.61,259
15,14260,32,113941,1352,0,Hatchet,3.25,1.41,876
3,16538,46,112498,515,0,Coffee Can Helmet,0.99,4.36,778
2,24819,57,103499,1223,0,Road Sign Kilt,1.52,11.77,778
23,29746,42,96962,2827,0,Road Sign Jacket,0.99,4.81,778
653,15542,47,103445,9913,0,Coffee Can Helmet,1.19,0.96,988
3820,33537,33,83404,8806,0,Riot Helmet,2.25,4.02,1016
10673,17839,33,96089,4966,0,Furnace,2.49,6.3,491
4381,16744,33,106362,2080,0,Furnace,2.99,4.06,393
576,21417,32,104626,2949,0,Furnace,1.98,1.85,876
1219,4159,51,123628,543,0,LR-300,1.99,4.05,659
7636,9684,77,93595,18608,0,Wood Storage Box,1.49,1.84,57
15712,44183,19,62450,7236,0,Garage Door,1.49,1.62,729
29,9403,47,119752,369,0,Hoodie,1.77,2.2,1065
1419,10533,39,113585,4024,0,Waterpipe Shotgun,1.99,1.68,260
8427,21741,654,93733,5045,0,Semi-Automatic Pistol,1.99,1.03,57
181,8217,30,118886,2286,0,Assault Rifle,1.99,1.35,603
541,6838,30,120139,2052,0,Double Barrel Shotgun,1.99,3.82,729
846,6961,57,121074,662,0,Semi-Automatic Rifle,1.99,2.46,721
0,7384,1085,120798,333,0,Stone Hatchet,1.99,1.71,329
0,8648,221,120343,388,0,Stone Pickaxe,1.99,2.11,329
103,9851,827,117944,875,0,Stone Hatchet,1.99,2.4,1037
2,8435,45,120564,554,0,T-Shirt,2.49,1.02,1751
56,4369,33,116157,8985,0,Bolt Action Rifle,2.49,2.09,1666
3,25494,35,101677,2391,0,Furnace,1.49,8.48,582
5602,4973,42,113415,5568,0,Assault Rifle,3.99,7.09,533
12390,8565,66,84513,24066,0,Large Wood Box,1.49,3.07,533
3845,18078,27,93660,13990,0,Sheet Metal Door,1.49,1.69,160
3307,3270,57,119833,3133,0,Semi-Automatic Rifle,2.99,2.81,162
45,20282,277,105402,3594,0,Rocket Launcher,1.99,3.76,960
6423,21220,23,99787,2147,0,Sheet Metal Double Door,1.49,2.71,238
2181,3687,42,111817,11873,0,Assault Rifle,1.99,11.54,953
406,9813,43,117056,2282,0,Assault Rifle,1.99,199.08,1135
2,14396,47,90817,24338,0,Metal Chest Plate,0.99,8.83,484
4,8766,34,118397,2399,0,Bolt Action Rifle,1.99,15.22,1058
1,23966,45,83249,22339,0,Boots,0.99,5.39,462
366,17705,46,80629,30854,0,Leather Gloves,1.49,2.84,484
4,17607,52,91374,20563,0,Road Sign Kilt,0.99,5.98,462
0,4398,47,122127,3028,0,Combat Knife,2.99,1.83,420
1,10208,32,86116,33243,0,Metal Facemask,0.99,6.0,484
0,2825,31,116240,10504,0,Bolt Action Rifle,1.99,4.08,427
5,10177,42,112827,6549,0,Rocket Launcher,1.99,3.38,455
5,7950,55,119658,1932,0,Semi-Automatic Rifle,1.99,44.54,1044
0,7744,59,113679,8118,0,Thompson,1.99,14.34,434
68,4467,36,123884,1145,0,Chair,1.56,6.31,868
10718,20398,25,89011,9448,0,Metal Facemask,0.99,1.25,946
2,31863,31,96671,1033,0,Metal Facemask,22.99,43.29,1300
161,17171,49,108352,3867,0,Hammer,1.99,4.6,1009
1372,7156,41,118526,2505,0,Pickaxe,4.98,1.37,1156
781,4714,56,123100,949,0,Semi-Automatic Rifle,3.99,9.22,652
0,29970,29,89498,10103,0,Rock,2.01,19.86,1281
79,9289,48,114662,5522,0,Assault Rifle,4.99,6.28,632
473,8537,83,118711,1796,0,Crossbow,6.35,18.85,785
6340,7509,31,113563,2157,0,Hatchet,13.8,1.69,1249
33,17039,44,105788,6696,0,Semi-Automatic Pistol,1.99,2.53,995
2322,6913,51,116221,4093,0,Assault Rifle,2.08,2.22,862
3241,21474,29,100790,4066,0,Sleeping Bag,1.49,7.07,722
20,2501,66,126975,38,0,Hunting Bow,1.99,2.22,274
759,8490,44,117466,2841,0,Semi-Automatic Pistol,15.39,7.36,1280
1,28165,22,90328,11084,0,Rock,3.99,1.56,77
266,8150,75,118963,2146,0,Custom SMG,1.99,2.01,315
100,7973,44,119949,1534,0,Rocket Launcher,2.49,1.87,274
493,20729,62,106148,2168,0,Revolver,1.99,1.95,84
599,32108,652,79106,17135,0,Bucket Helmet,7.85,1.22,1190
581,11402,42,115514,2061,0,Double Barrel Shotgun,3.58,8.45,1064
6991,19466,1128,86280,15735,0,Sandbag Barricade,11.97,33.9,1272
3108,3430,33,116673,6356,0,Bolt Action Rifle,1.99,1.64,533
23,25654,230,97423,6270,0,Rock,1.99,2.12,736
1,10421,40,117736,1402,0,Stone Hatchet,1.99,2.16,728
1,12206,282,116613,498,0,Stone Pickaxe,1.99,2.83,729
141,4507,33,116874,8045,0,Bolt Action Rifle,1.75,1.5,1170
3618,22734,33,96860,6355,0,Furnace,1.49,1.49,64
1,24365,29,104982,223,0,Armored Door,1.97,3.44,1128
